plate_id,well,sequencing_barcode
GEP00001_01,A1,no-barcode
GEP00001_01,B2,no-barcode
GEP00001_01,B3,no-barcode
GEP00001_01,B4,FLD0193
GEP00001_01,B5,FLD0194
GEP00001_01,B6,FLD0195
GEP00001_01,B7,FLD0196
GEP00001_01,B8,FLD0197
GEP00001_01,B9,FLD0198
GEP00001_01,B10,FLD0199
GEP00001_01,B11,FLD0200
GEP00001_01,C2,no-barcode
GEP00001_01,C3,no-barcode
GEP00001_01,C4,FLD0201
GEP00001_01,C5,FLD0202
GEP00001_01,C6,FLD0203
GEP00001_01,C7,FLD0204
GEP00001_01,C8,FLD0205
GEP00001_01,C9,FLD0206
GEP00001_01,C10,FLD0207
GEP00001_01,C11,FLD0208
GEP00001_01,D2,no-barcode
GEP00001_01,D3,no-barcode
GEP00001_01,D4,no-barcode
GEP00001_01,D5,no-barcode
GEP00001_01,D6,no-barcode
GEP00001_01,D7,no-barcode
GEP00001_01,D8,no-barcode
GEP00001_01,D9,no-barcode
GEP00001_01,D10,no-barcode
GEP00001_01,D11,no-barcode
GEP00001_01,E2,FLD0209
GEP00001_01,E3,FLD0210
GEP00001_01,E4,FLD0211
GEP00001_01,E5,FLD0212
GEP00001_01,E6,FLD0213
GEP00001_01,E7,FLD0214
GEP00001_01,E8,FLD0215
GEP00001_01,E9,FLD0216
GEP00001_01,E10,no-barcode
GEP00001_01,E11,no-barcode
GEP00001_01,F2,no-barcode
GEP00001_01,F3,no-barcode
GEP00001_01,F4,no-barcode
GEP00001_01,F5,no-barcode
GEP00001_01,F6,no-barcode
GEP00001_01,F7,no-barcode
GEP00001_01,F8,no-barcode
GEP00001_01,F9,no-barcode
GEP00001_01,F10,no-barcode
GEP00001_01,F11,no-barcode
GEP00001_01,G2,no-barcode
GEP00001_01,G3,no-barcode
GEP00001_01,G4,no-barcode
GEP00001_01,G5,no-barcode
GEP00001_01,G6,no-barcode
GEP00001_01,G7,no-barcode
GEP00001_01,G8,no-barcode
GEP00001_01,G9,no-barcode
GEP00001_01,G10,no-barcode
GEP00001_01,G11,no-barcode
GEP00001_01,H12,no-barcode
GEP00001_02,A1,no-barcode
GEP00001_02,B2,no-barcode
GEP00001_02,B3,no-barcode
GEP00001_02,B4,no-barcode
GEP00001_02,B5,no-barcode
GEP00001_02,B6,no-barcode
GEP00001_02,B7,no-barcode
GEP00001_02,B8,no-barcode
GEP00001_02,B9,no-barcode
GEP00001_02,B10,no-barcode
GEP00001_02,B11,no-barcode
GEP00001_02,C2,no-barcode
GEP00001_02,C3,no-barcode
GEP00001_02,C4,no-barcode
GEP00001_02,C5,no-barcode
GEP00001_02,C6,no-barcode
GEP00001_02,C7,no-barcode
GEP00001_02,C8,no-barcode
GEP00001_02,C9,no-barcode
GEP00001_02,C10,no-barcode
GEP00001_02,C11,no-barcode
GEP00001_02,D2,no-barcode
GEP00001_02,D3,no-barcode
GEP00001_02,D4,FLD0217
GEP00001_02,D5,FLD0218
GEP00001_02,D6,FLD0219
GEP00001_02,D7,FLD0220
GEP00001_02,D8,FLD0221
GEP00001_02,D9,FLD0222
GEP00001_02,D10,FLD0223
GEP00001_02,D11,FLD0224
GEP00001_02,E2,no-barcode
GEP00001_02,E3,no-barcode
GEP00001_02,E4,FLD0225
GEP00001_02,E5,FLD0226
GEP00001_02,E6,FLD0227
GEP00001_02,E7,FLD0228
GEP00001_02,E8,FLD0229
GEP00001_02,E9,FLD0230
GEP00001_02,E10,FLD0231
GEP00001_02,E11,FLD0232
GEP00001_02,F2,no-barcode
GEP00001_02,F3,no-barcode
GEP00001_02,F4,FLD0233
GEP00001_02,F5,FLD0234
GEP00001_02,F6,FLD0235
GEP00001_02,F7,FLD0236
GEP00001_02,F8,FLD0237
GEP00001_02,F9,FLD0238
GEP00001_02,F10,FLD0239
GEP00001_02,F11,FLD0240
GEP00001_02,G2,no-barcode
GEP00001_02,G3,no-barcode
GEP00001_02,G4,no-barcode
GEP00001_02,G5,no-barcode
GEP00001_02,G6,no-barcode
GEP00001_02,G7,no-barcode
GEP00001_02,G8,no-barcode
GEP00001_02,G9,no-barcode
GEP00001_02,G10,no-barcode
GEP00001_02,G11,no-barcode
GEP00001_02,H12,no-barcode
GEP00001_03,A1,no-barcode
GEP00001_03,B2,no-barcode
GEP00001_03,B3,no-barcode
GEP00001_03,B4,FLD0241
GEP00001_03,B5,FLD0242
GEP00001_03,B6,FLD0243
GEP00001_03,B7,FLD0244
GEP00001_03,B8,FLD0245
GEP00001_03,B9,FLD0246
GEP00001_03,B10,FLD0247
GEP00001_03,B11,FLD0248
GEP00001_03,C2,FLD0249
GEP00001_03,C3,FLD0250
GEP00001_03,C4,FLD0251
GEP00001_03,C5,FLD0252
GEP00001_03,C6,FLD0253
GEP00001_03,C7,FLD0254
GEP00001_03,C8,FLD0255
GEP00001_03,C9,FLD0256
GEP00001_03,C10,no-barcode
GEP00001_03,C11,no-barcode
GEP00001_03,D2,no-barcode
GEP00001_03,D3,no-barcode
GEP00001_03,D4,FLD0257
GEP00001_03,D5,FLD0258
GEP00001_03,D6,FLD0259
GEP00001_03,D7,FLD0260
GEP00001_03,D8,FLD0261
GEP00001_03,D9,FLD0262
GEP00001_03,D10,FLD0263
GEP00001_03,D11,FLD0264
GEP00001_03,E2,no-barcode
GEP00001_03,E3,no-barcode
GEP00001_03,E4,no-barcode
GEP00001_03,E5,no-barcode
GEP00001_03,E6,no-barcode
GEP00001_03,E7,no-barcode
GEP00001_03,E8,no-barcode
GEP00001_03,E9,no-barcode
GEP00001_03,E10,no-barcode
GEP00001_03,E11,no-barcode
GEP00001_03,F2,no-barcode
GEP00001_03,F3,no-barcode
GEP00001_03,F4,no-barcode
GEP00001_03,F5,no-barcode
GEP00001_03,F6,no-barcode
GEP00001_03,F7,no-barcode
GEP00001_03,F8,no-barcode
GEP00001_03,F9,no-barcode
GEP00001_03,F10,no-barcode
GEP00001_03,F11,no-barcode
GEP00001_03,G2,no-barcode
GEP00001_03,G3,no-barcode
GEP00001_03,G4,no-barcode
GEP00001_03,G5,no-barcode
GEP00001_03,G6,no-barcode
GEP00001_03,G7,no-barcode
GEP00001_03,G8,no-barcode
GEP00001_03,G9,no-barcode
GEP00001_03,G10,no-barcode
GEP00001_03,G11,no-barcode
GEP00001_03,H12,no-barcode
GEP00001_04,A1,no-barcode
GEP00001_04,B2,FLD0265
GEP00001_04,B3,FLD0266
GEP00001_04,B4,FLD0267
GEP00001_04,B5,FLD0268
GEP00001_04,B6,FLD0269
GEP00001_04,B7,FLD0270
GEP00001_04,B8,FLD0271
GEP00001_04,B9,FLD0272
GEP00001_04,B10,no-barcode
GEP00001_04,B11,no-barcode
GEP00001_04,C2,FLD0273
GEP00001_04,C3,FLD0274
GEP00001_04,C4,FLD0275
GEP00001_04,C5,FLD0276
GEP00001_04,C6,FLD0277
GEP00001_04,C7,FLD0278
GEP00001_04,C8,FLD0279
GEP00001_04,C9,FLD0280
GEP00001_04,C10,no-barcode
GEP00001_04,C11,no-barcode
GEP00001_04,D2,FLD0281
GEP00001_04,D3,FLD0282
GEP00001_04,D4,FLD0283
GEP00001_04,D5,FLD0284
GEP00001_04,D6,FLD0285
GEP00001_04,D7,FLD0286
GEP00001_04,D8,FLD0287
GEP00001_04,D9,FLD0288
GEP00001_04,D10,no-barcode
GEP00001_04,D11,no-barcode
GEP00001_04,E2,no-barcode
GEP00001_04,E3,no-barcode
GEP00001_04,E4,no-barcode
GEP00001_04,E5,no-barcode
GEP00001_04,E6,no-barcode
GEP00001_04,E7,no-barcode
GEP00001_04,E8,no-barcode
GEP00001_04,E9,no-barcode
GEP00001_04,E10,no-barcode
GEP00001_04,E11,no-barcode
GEP00001_04,F2,no-barcode
GEP00001_04,F3,no-barcode
GEP00001_04,F4,no-barcode
GEP00001_04,F5,no-barcode
GEP00001_04,F6,no-barcode
GEP00001_04,F7,no-barcode
GEP00001_04,F8,no-barcode
GEP00001_04,F9,no-barcode
GEP00001_04,F10,no-barcode
GEP00001_04,F11,no-barcode
GEP00001_04,G2,no-barcode
GEP00001_04,G3,no-barcode
GEP00001_04,G4,no-barcode
GEP00001_04,G5,no-barcode
GEP00001_04,G6,no-barcode
GEP00001_04,G7,no-barcode
GEP00001_04,G8,no-barcode
GEP00001_04,G9,no-barcode
GEP00001_04,G10,no-barcode
GEP00001_04,G11,no-barcode
GEP00001_04,H12,no-barcode
GEP00001_05,A1,no-barcode
GEP00001_05,B2,no-barcode
GEP00001_05,B3,no-barcode
GEP00001_05,B4,no-barcode
GEP00001_05,B5,no-barcode
GEP00001_05,B6,no-barcode
GEP00001_05,B7,no-barcode
GEP00001_05,B8,no-barcode
GEP00001_05,B9,no-barcode
GEP00001_05,B10,no-barcode
GEP00001_05,B11,no-barcode
GEP00001_05,C2,no-barcode
GEP00001_05,C3,no-barcode
GEP00001_05,C4,no-barcode
GEP00001_05,C5,no-barcode
GEP00001_05,C6,no-barcode
GEP00001_05,C7,no-barcode
GEP00001_05,C8,no-barcode
GEP00001_05,C9,no-barcode
GEP00001_05,C10,no-barcode
GEP00001_05,C11,no-barcode
GEP00001_05,D2,no-barcode
GEP00001_05,D3,no-barcode
GEP00001_05,D4,no-barcode
GEP00001_05,D5,no-barcode
GEP00001_05,D6,no-barcode
GEP00001_05,D7,no-barcode
GEP00001_05,D8,no-barcode
GEP00001_05,D9,no-barcode
GEP00001_05,D10,no-barcode
GEP00001_05,D11,no-barcode
GEP00001_05,E2,no-barcode
GEP00001_05,E3,no-barcode
GEP00001_05,E4,no-barcode
GEP00001_05,E5,no-barcode
GEP00001_05,E6,no-barcode
GEP00001_05,E7,no-barcode
GEP00001_05,E8,no-barcode
GEP00001_05,E9,no-barcode
GEP00001_05,E10,no-barcode
GEP00001_05,E11,no-barcode
GEP00001_05,F2,no-barcode
GEP00001_05,F3,no-barcode
GEP00001_05,F4,no-barcode
GEP00001_05,F5,no-barcode
GEP00001_05,F6,no-barcode
GEP00001_05,F7,no-barcode
GEP00001_05,F8,no-barcode
GEP00001_05,F9,no-barcode
GEP00001_05,F10,no-barcode
GEP00001_05,F11,no-barcode
GEP00001_05,G2,no-barcode
GEP00001_05,G3,no-barcode
GEP00001_05,G4,no-barcode
GEP00001_05,G5,no-barcode
GEP00001_05,G6,no-barcode
GEP00001_05,G7,no-barcode
GEP00001_05,G8,no-barcode
GEP00001_05,G9,no-barcode
GEP00001_05,G10,no-barcode
GEP00001_05,H12,no-barcode
GEP00001_06,A1,no-barcode
GEP00001_06,B2,no-barcode
GEP00001_06,B3,no-barcode
GEP00001_06,B4,FLD0300
GEP00001_06,B5,no-barcode
GEP00001_06,C2,no-barcode
GEP00001_06,C3,no-barcode
GEP00001_06,C4,no-barcode
GEP00001_06,C5,no-barcode
GEP00001_06,D2,no-barcode
GEP00001_06,D3,no-barcode
GEP00001_06,D4,no-barcode
GEP00001_06,D5,no-barcode
GEP00001_06,E2,no-barcode
GEP00001_06,E3,no-barcode
GEP00001_06,E4,no-barcode
GEP00001_06,E5,no-barcode
GEP00001_06,F2,no-barcode
GEP00001_06,F3,no-barcode
GEP00001_06,F4,no-barcode
GEP00001_06,F5,no-barcode
GEP00001_06,G2,no-barcode
GEP00001_06,G3,no-barcode
GEP00001_06,G4,no-barcode
GEP00001_06,G5,no-barcode
GEP00001_06,H12,no-barcode
